Encoding,Dataset,Block Size,Time
TS_2DIFF+BOS-V,Nifty-Stocks,7,41040.38940347059
TS_2DIFF+BOS-V,Nifty-Stocks,8,97657.86344301087
TS_2DIFF+BOS-V,Nifty-Stocks,9,245823.75236900029
TS_2DIFF+BOS-V,Nifty-Stocks,10,627203.8741413535
TS_2DIFF+BOS-V,Nifty-Stocks,11,1704656.376443324
TS_2DIFF+BOS-V,Nifty-Stocks,12,5079047.832648523
TS_2DIFF+BOS-V,Nifty-Stocks,13,10162180.9879735
TS_2DIFF+BOS-L,Nifty-Stocks,5,7083.569464514189
TS_2DIFF+BOS-L,Nifty-Stocks,6,8482.8951949988
TS_2DIFF+BOS-L,Nifty-Stocks,7,12439.484032714836
TS_2DIFF+BOS-L,Nifty-Stocks,8,20630.199361613642
TS_2DIFF+BOS-L,Nifty-Stocks,9,39653.54890958736
TS_2DIFF+BOS-L,Nifty-Stocks,10,76310.49861499529
TS_2DIFF+BOS-L,Nifty-Stocks,11,134449.65766181945
TS_2DIFF+BOS-L,Nifty-Stocks,12,201442.9036226321
TS_2DIFF+BOS-L,Nifty-Stocks,13,566333.1974815931
TS_2DIFF+BOS-H,Nifty-Stocks,5,4310.436142273769
TS_2DIFF+BOS-H,Nifty-Stocks,6,6633.34792707179
TS_2DIFF+BOS-H,Nifty-Stocks,7,9870.382098887252
TS_2DIFF+BOS-H,Nifty-Stocks,8,15133.411261062955
TS_2DIFF+BOS-H,Nifty-Stocks,9,24329.0433409743
TS_2DIFF+BOS-H,Nifty-Stocks,10,43940.49398084192
TS_2DIFF+BOS-H,Nifty-Stocks,11,64152.22503909037
TS_2DIFF+BOS-H,Nifty-Stocks,12,110477.99250072108
TS_2DIFF+BOS-H,Nifty-Stocks,13,201271.70573679658
TS_2DIFF+BOS-V,USGS-Earthquakes,5,7913.495442493634
TS_2DIFF+BOS-V,USGS-Earthquakes,6,16371.074604158697
TS_2DIFF+BOS-V,USGS-Earthquakes,7,40792.82899567774
TS_2DIFF+BOS-V,USGS-Earthquakes,8,125193.08163058915
TS_2DIFF+BOS-V,USGS-Earthquakes,9,427009.1121282873
TS_2DIFF+BOS-V,USGS-Earthquakes,10,1486039.1720596058
TS_2DIFF+BOS-V,USGS-Earthquakes,11,5046404.185677162
