Encoding,Dataset,Block Size,Compression Ratio
TS_2DIFF+BOS-V,Nifty-Stocks,5,1.5833501648402224
TS_2DIFF+BOS-V,Nifty-Stocks,6,1.943205520615437
TS_2DIFF+BOS-V,Nifty-Stocks,7,2.1498542019231652
TS_2DIFF+BOS-V,Nifty-Stocks,8,2.247025614837846
TS_2DIFF+BOS-V,Nifty-Stocks,9,2.2813057412681603
TS_2DIFF+BOS-V,Nifty-Stocks,10,2.2910302526378525
TS_2DIFF+BOS-V,Nifty-Stocks,11,2.254396456707522
TS_2DIFF+BOS-V,Nifty-Stocks,12,2.235980465347164
TS_2DIFF+BOS-V,Nifty-Stocks,13,2.235980465347164
TS_2DIFF+BOS-L,Nifty-Stocks,5,1.5614826232774968
TS_2DIFF+BOS-L,Nifty-Stocks,6,1.8888679201751206
TS_2DIFF+BOS-L,Nifty-Stocks,7,2.096974765010022
TS_2DIFF+BOS-L,Nifty-Stocks,8,2.189326087716642
TS_2DIFF+BOS-L,Nifty-Stocks,9,2.2211262977412485
TS_2DIFF+BOS-L,Nifty-Stocks,10,2.1994603937203445
TS_2DIFF+BOS-L,Nifty-Stocks,11,2.139070214681579
TS_2DIFF+BOS-L,Nifty-Stocks,12,2.104422377090307
TS_2DIFF+BOS-L,Nifty-Stocks,13,2.104422377090307
TS_2DIFF+BOS-H,Nifty-Stocks,5,2.909906129210382
TS_2DIFF+BOS-H,Nifty-Stocks,6,4.1404170398654925
TS_2DIFF+BOS-H,Nifty-Stocks,7,5.40568486054551
TS_2DIFF+BOS-H,Nifty-Stocks,8,6.358704570683913
TS_2DIFF+BOS-H,Nifty-Stocks,9,6.8483950617283975
TS_2DIFF+BOS-H,Nifty-Stocks,10,7.038841694716036
TS_2DIFF+BOS-H,Nifty-Stocks,11,7.085594428160381
TS_2DIFF+BOS-H,Nifty-Stocks,12,7.037901653356127
TS_2DIFF+BOS-H,Nifty-Stocks,13,6.926617683784389
TS_2DIFF+BOS-V,USGS-Earthquakes,5,1.5518571969580657
TS_2DIFF+BOS-V,USGS-Earthquakes,6,1.8603283408724673
TS_2DIFF+BOS-V,USGS-Earthquakes,7,2.027922985525791
TS_2DIFF+BOS-V,USGS-Earthquakes,8,2.122119348043641
TS_2DIFF+BOS-V,USGS-Earthquakes,9,2.1684755014719377
TS_2DIFF+BOS-V,USGS-Earthquakes,10,2.1896720214512317
TS_2DIFF+BOS-V,USGS-Earthquakes,11,2.198514680400113
TS_2DIFF+BOS-V,USGS-Earthquakes,12,2.201547385972852
TS_2DIFF+BOS-V,USGS-Earthquakes,13,2.203910167890108
TS_2DIFF+BOS-L,USGS-Earthquakes,5,1.4824372572951992
TS_2DIFF+BOS-L,USGS-Earthquakes,6,1.7781278708391155
TS_2DIFF+BOS-L,USGS-Earthquakes,7,1.9292603683313116
TS_2DIFF+BOS-L,USGS-Earthquakes,8,2.012980144759814
TS_2DIFF+BOS-L,USGS-Earthquakes,9,2.0502310067386356
TS_2DIFF+BOS-L,USGS-Earthquakes,10,2.064829211050155
TS_2DIFF+BOS-L,USGS-Earthquakes,11,2.081873646919898
TS_2DIFF+BOS-L,USGS-Earthquakes,12,2.0908982256136803
TS_2DIFF+BOS-L,USGS-Earthquakes,13,2.089755075599906
TS_2DIFF+BOS-H,USGS-Earthquakes,5,1.5549049067013982
TS_2DIFF+BOS-H,USGS-Earthquakes,6,1.860518576389599
TS_2DIFF+BOS-H,USGS-Earthquakes,7,2.028058614101538
TS_2DIFF+BOS-H,USGS-Earthquakes,8,2.122262918464948
TS_2DIFF+BOS-H,USGS-Earthquakes,9,2.1684134751756146
TS_2DIFF+BOS-H,USGS-Earthquakes,10,2.1896720214512317
TS_2DIFF+BOS-H,USGS-Earthquakes,11,2.198514680400113
TS_2DIFF+BOS-H,USGS-Earthquakes,12,2.201547385972852
TS_2DIFF+BOS-H,USGS-Earthquakes,13,2.203910167890108
TS_2DIFF+BOS-V,Vehicle-Charge,5,1.8433555042758247
TS_2DIFF+BOS-V,Vehicle-Charge,6,2.266733433483559
TS_2DIFF+BOS-V,Vehicle-Charge,7,2.526511627906977
TS_2DIFF+BOS-V,Vehicle-Charge,8,2.686449060336301
TS_2DIFF+BOS-V,Vehicle-Charge,9,2.773126403920768
TS_2DIFF+BOS-V,Vehicle-Charge,10,2.8203530633437173
TS_2DIFF+BOS-V,Vehicle-Charge,11,2.849349559378935
