Encoding,Dataset,Compression Ratio
RLE+BOS-P,Metro-Traffic,2.479004345701869
BUFF,Nifty-Stocks,1.5583324582589528
CHIMP,Nifty-Stocks,1.7829038265152906
GORILLA,Nifty-Stocks,1.4780876494023905
PLAIN,Nifty-Stocks,1.1567542287005999
RLBE,Nifty-Stocks,1.1499864388391652
RLE,Nifty-Stocks,1.5570244465428598
SPRINTZ,Nifty-Stocks,1.6639569434321901
TS_2DIFF,Nifty-Stocks,1.8636192389802806
TS_2DIFF+BOS-O,Nifty-Stocks,2.030095759233926
Elf,Nifty-Stocks,1.788913088743446
RLE+FASTPFOR,Nifty-Stocks,1.804782155663816
RLE+NEWPFOR,Nifty-Stocks,1.568034461664227
RLE+OPTPFOR,Nifty-Stocks,1.617489084204073
RLE+PFOR,Nifty-Stocks,1.4951146809242677
SPRINTZ+FASTPFOR,Nifty-Stocks,2.1307022986788624
SPRINTZ+NEWPFOR,Nifty-Stocks,2.054779944387937
SPRINTZ+OPTPFOR,Nifty-Stocks,2.084413749442105
SPRINTZ+PFOR,Nifty-Stocks,2.0352242513499568
TS_2DIFF+FASTPFOR,Nifty-Stocks,1.8076823931374317
TS_2DIFF+NEWPFOR,Nifty-Stocks,1.6524786229869626
TS_2DIFF+OPTPFOR,Nifty-Stocks,1.6549357172323746
TS_2DIFF+PFOR,Nifty-Stocks,1.6771396289617797
SPRINTZ+BOS-O,Nifty-Stocks,2.0626867746195012
RLE+BOS-O,Nifty-Stocks,1.7311169437153688
TS_2DIFF+BOS-A,Nifty-Stocks,2.1198763821125497
RLE+BOS-A,Nifty-Stocks,1.8644185076417152
SPRINTZ+BOS-A,Nifty-Stocks,2.2748240333313094
TS_2DIFF+BWS,Nifty-Stocks,1.9530170428374023
RLE+BWS,Nifty-Stocks,1.713526932625137
SPRINTZ+BWS,Nifty-Stocks,1.9448266823930282
TS_2DIFF+BOS-P,Nifty-Stocks,2.030095759233926
SPRINTZ+BOS-P,Nifty-Stocks,2.0626867746195012
RLE+BOS-P,Nifty-Stocks,1.7315209147657664
BUFF,USGS-Earthquakes,2.0423279235430303
CHIMP,USGS-Earthquakes,1.9831400786098745
GORILLA,USGS-Earthquakes,0.9608349906895851
PLAIN,USGS-Earthquakes,1.7394766127829484
RLBE,USGS-Earthquakes,1.163421044217794
RLE,USGS-Earthquakes,0.9989919022738206
SPRINTZ,USGS-Earthquakes,1.8307630695047916
TS_2DIFF,USGS-Earthquakes,1.9632813292443665
TS_2DIFF+BOS-O,USGS-Earthquakes,2.1896720214512317
Elf,USGS-Earthquakes,1.4791933557272463
RLE+FASTPFOR,USGS-Earthquakes,2.25385011793154
RLE+NEWPFOR,USGS-Earthquakes,2.066315961622329
RLE+OPTPFOR,USGS-Earthquakes,2.129725528388287
RLE+PFOR,USGS-Earthquakes,2.048209155506723
SPRINTZ+FASTPFOR,USGS-Earthquakes,2.1210852250470986
SPRINTZ+NEWPFOR,USGS-Earthquakes,1.9993582417582414
SPRINTZ+OPTPFOR,USGS-Earthquakes,2.0858356109103586
SPRINTZ+PFOR,USGS-Earthquakes,1.9817101330568214
TS_2DIFF+FASTPFOR,USGS-Earthquakes,1.9366532405712198
TS_2DIFF+NEWPFOR,USGS-Earthquakes,1.8694576421654858
TS_2DIFF+OPTPFOR,USGS-Earthquakes,1.8865468843320727
TS_2DIFF+PFOR,USGS-Earthquakes,1.8966316684874616
SPRINTZ+BOS-O,USGS-Earthquakes,2.2597398726190594
RLE+BOS-O,USGS-Earthquakes,2.402224487316937
TS_2DIFF+BOS-A,USGS-Earthquakes,1.988880556715501
RLE+BOS-A,USGS-Earthquakes,2.4045611456785956
SPRINTZ+BOS-A,USGS-Earthquakes,2.134292430918228
TS_2DIFF+BWS,USGS-Earthquakes,2.064829211050155
RLE+BWS,USGS-Earthquakes,2.272798363059919
SPRINTZ+BWS,USGS-Earthquakes,2.1237343966308164
TS_2DIFF+BOS-P,USGS-Earthquakes,2.1896720214512317
SPRINTZ+BOS-P,USGS-Earthquakes,2.2597398726190594
RLE+BOS-P,USGS-Earthquakes,2.402192770511673
BUFF,Vehicle-Charge,2.6580544137796043
CHIMP,Vehicle-Charge,2.6466575716234684
GORILLA,Vehicle-Charge,2.3369471691619372
PLAIN,Vehicle-Charge,2.0326298458314604
RLBE,Vehicle-Charge,1.2019826517967764
RLE,Vehicle-Charge,2.6538987688098494
SPRINTZ,Vehicle-Charge,2.622127823904232
TS_2DIFF,Vehicle-Charge,2.6145552560646923
TS_2DIFF+BOS-O,Vehicle-Charge,2.8203530633437173
Elf,Vehicle-Charge,1.604085789776669
RLE+FASTPFOR,Vehicle-Charge,2.954743255004352
RLE+NEWPFOR,Vehicle-Charge,2.8795589482612387
RLE+OPTPFOR,Vehicle-Charge,2.8795589482612387
RLE+PFOR,Vehicle-Charge,2.819767441860465
SPRINTZ+FASTPFOR,Vehicle-Charge,2.720352564102564
SPRINTZ+NEWPFOR,Vehicle-Charge,2.673228346456693
SPRINTZ+OPTPFOR,Vehicle-Charge,2.6923076923076925
SPRINTZ+PFOR,Vehicle-Charge,2.6277089783281737
TS_2DIFF+FASTPFOR,Vehicle-Charge,2.535474234503361
TS_2DIFF+NEWPFOR,Vehicle-Charge,2.5411676646706587
TS_2DIFF+OPTPFOR,Vehicle-Charge,2.5430711610486894
TS_2DIFF+PFOR,Vehicle-Charge,2.6256767208043312
SPRINTZ+BOS-O,Vehicle-Charge,2.8918228279386713
RLE+BOS-O,Vehicle-Charge,3.152274837511607
TS_2DIFF+BOS-A,Vehicle-Charge,2.845766974015089
RLE+BOS-A,Vehicle-Charge,3.181818181818182
SPRINTZ+BOS-A,Vehicle-Charge,2.9141630901287554
TS_2DIFF+BWS,Vehicle-Charge,2.719807730823152
RLE+BWS,Vehicle-Charge,2.8511442368255304
SPRINTZ+BWS,Vehicle-Charge,2.700875099443119
TS_2DIFF+BOS-P,Vehicle-Charge,2.8203530633437173
SPRINTZ+BOS-P,Vehicle-Charge,2.8918228279386713
RLE+BOS-P,Vehicle-Charge,3.152274837511607
BUFF,CS-Sensors,2.6663822525597327
CHIMP,CS-Sensors,3.416204767313753
GORILLA,CS-Sensors,2.5401986435339237
PLAIN,CS-Sensors,2.6599635584992436
RLBE,CS-Sensors,1.3821556791049194
RLE,CS-Sensors,2.659945870101544
SPRINTZ,CS-Sensors,2.2981769711176607
TS_2DIFF,CS-Sensors,2.4197841552533483
TS_2DIFF+BOS-O,CS-Sensors,3.703806587220015
Elf,CS-Sensors,1.846315043659581
RLE+FASTPFOR,CS-Sensors,2.6586552521734506
RLE+NEWPFOR,CS-Sensors,2.596391016487083
RLE+OPTPFOR,CS-Sensors,2.6034886748242645
RLE+PFOR,CS-Sensors,2.627016234960332
SPRINTZ+FASTPFOR,CS-Sensors,2.996613826376195
SPRINTZ+NEWPFOR,CS-Sensors,2.4310198128114746
SPRINTZ+OPTPFOR,CS-Sensors,2.887502887502887
SPRINTZ+PFOR,CS-Sensors,3.0023718737802865
TS_2DIFF+FASTPFOR,CS-Sensors,2.4015946588534787
TS_2DIFF+NEWPFOR,CS-Sensors,2.3805556216821007
TS_2DIFF+OPTPFOR,CS-Sensors,2.386520929788554
TS_2DIFF+PFOR,CS-Sensors,2.4411082631514707
SPRINTZ+BOS-O,CS-Sensors,4.285086826571823
RLE+BOS-O,CS-Sensors,4.409511315908414
TS_2DIFF+BOS-A,CS-Sensors,3.295870274545994
RLE+BOS-A,CS-Sensors,3.359678814705314
SPRINTZ+BOS-A,CS-Sensors,3.468879811986714
TS_2DIFF+BWS,CS-Sensors,3.6248629348702748
RLE+BWS,CS-Sensors,4.5096845475658975
SPRINTZ+BWS,CS-Sensors,4.273686909696996
TS_2DIFF+BOS-P,CS-Sensors,3.710506298584442
SPRINTZ+BOS-P,CS-Sensors,4.285086826571823
RLE+BOS-P,CS-Sensors,4.532064355313845
BUFF,Cyber-Vehicle,2.53614352900192
CHIMP,Cyber-Vehicle,2.7648019444760954
GORILLA,Cyber-Vehicle,1.7691373025516408
PLAIN,Cyber-Vehicle,2.176220013451909
RLBE,Cyber-Vehicle,1.532744518017117
RLE,Cyber-Vehicle,1.7395252147525138
SPRINTZ,Cyber-Vehicle,2.6289655670512606
TS_2DIFF,Cyber-Vehicle,2.41663762054142
TS_2DIFF+BOS-O,Cyber-Vehicle,2.9473087589320053
Elf,Cyber-Vehicle,2.0658139497768313
RLE+FASTPFOR,Cyber-Vehicle,2.990224266820012
RLE+NEWPFOR,Cyber-Vehicle,2.862535388486946
RLE+OPTPFOR,Cyber-Vehicle,2.946652634987453
RLE+PFOR,Cyber-Vehicle,2.8813425156336576
SPRINTZ+FASTPFOR,Cyber-Vehicle,2.828722412185266
SPRINTZ+NEWPFOR,Cyber-Vehicle,2.643235785346017
SPRINTZ+OPTPFOR,Cyber-Vehicle,2.857142857142857
SPRINTZ+PFOR,Cyber-Vehicle,2.6147546871632783
TS_2DIFF+FASTPFOR,Cyber-Vehicle,2.4239195578344543
TS_2DIFF+NEWPFOR,Cyber-Vehicle,2.3240965393947133
TS_2DIFF+OPTPFOR,Cyber-Vehicle,2.3281100095938596
TS_2DIFF+PFOR,Cyber-Vehicle,2.375203915171289
SPRINTZ+BOS-O,Cyber-Vehicle,3.3301312840217743
RLE+BOS-O,Cyber-Vehicle,3.2478251171090786
TS_2DIFF+BOS-A,Cyber-Vehicle,2.6887776772358776
RLE+BOS-A,Cyber-Vehicle,3.240740740740741
SPRINTZ+BOS-A,Cyber-Vehicle,2.882369244169933
TS_2DIFF+BWS,Cyber-Vehicle,2.573529411764706
RLE+BWS,Cyber-Vehicle,3.267797827453093
SPRINTZ+BWS,Cyber-Vehicle,3.0787448194197755
TS_2DIFF+BOS-P,Cyber-Vehicle,2.9473087589320053
SPRINTZ+BOS-P,Cyber-Vehicle,3.3298266477610583
RLE+BOS-P,Cyber-Vehicle,3.2471732197417436
BUFF,TH-Climate,3.1996794151755603
CHIMP,TH-Climate,3.505188101952853
GORILLA,TH-Climate,6.560810726690999
PLAIN,TH-Climate,2.0016864815588535
RLBE,TH-Climate,2.512654244464361
RLE,TH-Climate,3.1958955450168
SPRINTZ,TH-Climate,4.138726144663464
TS_2DIFF,TH-Climate,4.0667052513794015
TS_2DIFF+BOS-O,TH-Climate,7.038841694716036
Elf,TH-Climate,4.370134797265079
RLE+FASTPFOR,TH-Climate,4.462940379403794
RLE+NEWPFOR,TH-Climate,4.3695399820901475
RLE+OPTPFOR,TH-Climate,4.379125810204423
RLE+PFOR,TH-Climate,4.381747430738018
SPRINTZ+FASTPFOR,TH-Climate,5.29419328913
