Encoding,Dataset,Encoding Time
CHIMP,Nifty-Stocks,50.600404312668466
GORILLA,Nifty-Stocks,57.35983827493261
PLAIN,Nifty-Stocks,55.16064690026954
RLBE,Nifty-Stocks,1275.837331536388
RLE,Nifty-Stocks,209.06185983827493
SPRINTZ,Nifty-Stocks,113.5256064690027
TS_2DIFF,Nifty-Stocks,101.90404312668463
Elf,Nifty-Stocks,281.65033212599235
TS_2DIFF+BOS-O,Nifty-Stocks,663.3380053908356
RLE+FASTPFOR,Nifty-Stocks,193.56277215404077
RLE+NEWPFOR,Nifty-Stocks,288.7418149534351
RLE+OPTPFOR,Nifty-Stocks,323.5639587876002
RLE+PFOR,Nifty-Stocks,231.48908663690509
SPRINTZ+FASTPFOR,Nifty-Stocks,147.45320232991932
SPRINTZ+NEWPFOR,Nifty-Stocks,174.70355980370337
SPRINTZ+OPTPFOR,Nifty-Stocks,553.6257399064871
SPRINTZ+PFOR,Nifty-Stocks,175.6440868332793
TS_2DIFF+FASTPFOR,Nifty-Stocks,149.78805157513932
TS_2DIFF+NEWPFOR,Nifty-Stocks,486.35279348367357
TS_2DIFF+OPTPFOR,Nifty-Stocks,298.843497322765
TS_2DIFF+PFOR,Nifty-Stocks,236.56042822183397
SPRINTZ+BOS-O,Nifty-Stocks,637.4734501347709
RLE+BOS-O,Nifty-Stocks,1035.6987870619946
TS_2DIFF+BOS-A,Nifty-Stocks,173.4120826463011
RLE+BOS-A,Nifty-Stocks,253.0912421280385
SPRINTZ+BOS-A,Nifty-Stocks,118.86708354393969
TS_2DIFF+BWS,Nifty-Stocks,189.63989218328842
RLE+BWS,Nifty-Stocks,228.25485175202158
SPRINTZ+BWS,Nifty-Stocks,236.41280323450135
TS_2DIFF+BOS-P,Nifty-Stocks,969.5576819407008
SPRINTZ+BOS-P,Nifty-Stocks,1613.320215633423
RLE+BOS-P,Nifty-Stocks,3061.3012129380054
BUFF,USGS-Earthquakes,59.88833779630388
CHIMP,USGS-Earthquakes,24.8860205692376
GORILLA,USGS-Earthquakes,30.949575028470672
PLAIN,USGS-Earthquakes,15.185351783209557
RLBE,USGS-Earthquakes,889.0158732252547
RLE,USGS-Earthquakes,17.57826467393933
SPRINTZ,USGS-Earthquakes,61.441121766544875
TS_2DIFF,USGS-Earthquakes,8.388823666495183
Elf,USGS-Earthquakes,129.9838279910302
TS_2DIFF+BOS-O,USGS-Earthquakes,793.0573414766058
RLE+FASTPFOR,USGS-Earthquakes,79.37638451019448
RLE+NEWPFOR,USGS-Earthquakes,91.35366952912364
RLE+OPTPFOR,USGS-Earthquakes,167.2331517366012
RLE+PFOR,USGS-Earthquakes,92.52749673521612
SPRINTZ+FASTPFOR,USGS-Earthquakes,39.33240556310376
SPRINTZ+NEWPFOR,USGS-Earthquakes,57.15551803435827
SPRINTZ+OPTPFOR,USGS-Earthquakes,252.96670140308757
SPRINTZ+PFOR,USGS-Earthquakes,54.202922256372375
TS_2DIFF+FASTPFOR,USGS-Earthquakes,43.20580669841312
TS_2DIFF+NEWPFOR,USGS-Earthquakes,50.8366420873511
TS_2DIFF+OPTPFOR,USGS-Earthquakes,77.61519960250982
TS_2DIFF+PFOR,USGS-Earthquakes,55.66767358317174
SPRINTZ+BOS-O,USGS-Earthquakes,819.5471557906493
RLE+BOS-O,USGS-Earthquakes,423.9643841760214
TS_2DIFF+BOS-A,USGS-Earthquakes,108.48316162988563
RLE+BOS-A,USGS-Earthquakes,50.43380073606036
SPRINTZ+BOS-A,USGS-Earthquakes,72.48632748090596
TS_2DIFF+BWS,USGS-Earthquakes,108.74147308806782
RLE+BWS,USGS-Earthquakes,109.3270851745835
SPRINTZ+BWS,USGS-Earthquakes,121.92181667084382
TS_2DIFF+BOS-P,USGS-Earthquakes,745.575301085623
SPRINTZ+BOS-P,USGS-Earthquakes,668.4053916201682
RLE+BOS-P,USGS-Earthquakes,437.09030590035485
BUFF,Vehicle-Charge,79.80736377025036
CHIMP,Vehicle-Charge,76.1858615611193
GORILLA,Vehicle-Charge,98.21502209131076
PLAIN,Vehicle-Charge,46.57790868924889
RLBE,Vehicle-Charge,2127.291899852725
RLE,Vehicle-Charge,112.72223858615611
SPRINTZ,Vehicle-Charge,231.85655375552284
TS_2DIFF,Vehicle-Charge,93.16053019145802
Elf,Vehicle-Charge,50.63545347467609
TS_2DIFF+BOS-O,Vehicle-Charge,409.9363770250368
RLE+FASTPFOR,Vehicle-Charge,81.24683357879235
RLE+NEWPFOR,Vehicle-Charge,81.70103092783505
RLE+OPTPFOR,Vehicle-Charge,176.7920471281296
RLE+PFOR,Vehicle-Charge,79.65154639175258
SPRINTZ+FASTPFOR,Vehicle-Charge,30.43681885125184
SPRINTZ+NEWPFOR,Vehicle-Charge,46.88276877761414
SPRINTZ+OPTPFOR,Vehicle-Charge,182.48659793814434
SPRINTZ+PFOR,Vehicle-Charge,37.43240058910162
TS_2DIFF+FASTPFOR,Vehicle-Charge,31.59057437407953
TS_2DIFF+NEWPFOR,Vehicle-Charge,38.88070692194403
TS_2DIFF+OPTPFOR,Vehicle-Charge,81.95876288659794
TS_2DIFF+PFOR,Vehicle-Charge,37.457142857142856
SPRINTZ+BOS-O,Vehicle-Charge,422.8662739322533
RLE+BOS-O,Vehicle-Charge,214.85419734904272
TS_2DIFF+BOS-A,Vehicle-Charge,110.21119293078056
RLE+BOS-A,Vehicle-Charge,24.67776141384389
SPRINTZ+BOS-A,Vehicle-Charge,47.84771723122238
TS_2DIFF+BWS,Vehicle-Charge,94.06627393225331
RLE+BWS,Vehicle-Charge,96.44624447717231
SPRINTZ+BWS,Vehicle-Charge,100.46067746686303
TS_2DIFF+BOS-P,Vehicle-Charge,327.23122238586154
SPRINTZ+BOS-P,Vehicle-Charge,307.21708394698084
RLE+BOS-P,Vehicle-Charge,205.40765832106038
BUFF,CS-Sensors,49.1392
CHIMP,CS-Sensors,20.75883
GORILLA,CS-Sensors,15.21374
PLAIN,CS-Sensors,19.23031
RLBE,CS-Sensors,785.8647
RLE,CS-Sensors,31.19074
SPRINTZ,CS-Sensors,62.50745
TS_2DIFF,CS-Sensors,19.1135
Elf,CS-Sensors,129.44023
TS_2DIFF+BOS-O,CS-Sensors,72.86712
RLE+FASTPFOR,CS-Sensors,102.085
RLE+NEWPFOR,CS-Sensors,162.47792
RLE+OPTPFOR,CS-Sensors,272.24583
RLE+PFOR,CS-Sensors,107.0025
SPRINTZ+FASTPFOR,CS-Sensors,41.88
SPRINTZ+NEWPFOR,CS-Sensors,78.9075
SPRINTZ+OPTPFOR,CS-Sensors,195.79792
SPRINTZ+PFOR,CS-Sensors,68.29875
TS_2DIFF+FASTPFOR,CS-Sensors,64.05875
TS_2DIFF+NEWPFOR,CS-Sensors,139.17958
TS_2DIFF+OPTPFOR,CS-Sensors,333.715
TS_2DIFF+PFOR,CS-Sensors,116.46791
SPRINTZ+BOS-O,CS-Sensors,78.03954
RLE+BOS-O,CS-Sensors,68.07227
TS_2DIFF+BOS-A,CS-Sensors,405.72834
RLE+BOS-A,CS-Sensors,51.84825
SPRINTZ+BOS-A,CS-Sensors,37.00701
TS_2DIFF+BWS,CS-Sensors,111.25857
RLE+BWS,CS-Sensors,117.20606
SPRINTZ+BWS,CS-Sensors,112.84128
TS_2DIFF+BOS-P,CS-Sensors,148.85373
SPRINTZ+BOS-P,CS-Sensors,135.83465
RLE+BOS-P,CS-Sensors,118.7765
BUFF,Cyber-Vehicle,44.692115384615384
CHIMP,Cyber-Vehicle,18.920274725274727
GORILLA,Cyber-Vehicle,18.48346153846154
PLAIN,Cyber-Vehicle,11.512884615384616
RLBE,Cyber-Vehicle,775.5752472527472
RLE,Cyber-Vehicle,16.872692307692308
SPRINTZ,Cyber-Vehicle,56.833681318681315
TS_2DIFF,Cyber-Vehicle,7.6323351648351645
Elf,Cyber-Vehicle,74.21032825161379
TS_2DIFF+BOS-O,Cyber-Vehicle,277.50376373626375
RLE+FASTPFOR,Cyber-Vehicle,65.61013736263736
RLE+NEWPFOR,Cyber-Vehicle,73.7168131868132
RLE+OPTPFOR,Cyber-Vehicle,156.1882142857143
RLE+PFOR,Cyber-Vehicle,75.6628021978022
SPRINTZ+FASTPFOR,Cyber-Vehicle,31.02453296703296
SPRINTZ+NEWPFOR,Cyber-Vehicle,45.90315934065934
SPRINTZ+OPTPFOR,Cyber-Vehicle,162.8514010989011
SPRINTZ+PFOR,Cyber-Vehicle,52.07189560439561
TS_2DIFF+FASTPFOR,Cyber-Vehicle,32.07076923076923
TS_2DIFF+NEWPFOR,Cyber-Vehicle,36.29692307692308
TS_2DIFF+OPTPFOR,Cyber-Vehicle,111.27516483516483
TS_2DIFF+PFOR,Cyber-Vehicle,41.62543956043957
SPRINTZ+BOS-O,Cyber-Vehicle,284.1518406593407
RLE+BOS-O,Cyber-Vehicle,214.1116758241758
TS_2DIFF+BOS-A,Cyber-Vehicle,120.89513736263737
RLE+BOS-A,Cyber-Vehicle,27.06266483516483
SPRINTZ+BOS-A,Cyber-Vehicle,36.10192307692307
TS_2DIFF+BWS,Cyber-Vehicle,96.53412087912088
RLE+BWS,Cyber-Vehicle,92.30766483516484
SPRINTZ+BWS,Cyber-Vehicle,94.07134615384616
TS_2DIFF+BOS-P,Cyber-Vehicle,275.455521978022
SPRINTZ+BOS-P,Cyber-Vehicle,301.1307142857143
RLE+BOS-P,Cyber-Vehicle,199.87274725274725
BUFF,TH-Climate,30.232781260911146
CHIMP,TH-Climate,15.496872770330787
GORILLA,TH-Climate,7.335365020569885
PLAIN,TH-Climate,12.465129871115632
RLBE,TH-Climate,696.159109194966
RLE,TH-Climate,16.28451717699209
SPRINTZ,TH-Climate,53.558749411746845
TS_2DIFF,TH-Climate,6.72452294566818
Elf,TH-Climate,64.57211928924377
TS_2DIFF+BOS-O,TH-Climate,27.21296282240068
RLE+FASTPFOR,TH-Climate,71.19033594947854
RLE+NEWPFOR,TH-Climate,67.05959194207034
RLE+OPTPFOR,TH-Climate,105.00160915701426
RLE+PFOR,TH-Climate,71.27571994595661
SPRINTZ+FASTPFOR,TH-Climate,19.61792388383708
SPRINTZ+NEWPFOR,TH-Climate,29.57426411428051
SPRINTZ+OPTPFOR,TH-Climate,79.24782536092178
SPRINTZ+PFOR,TH-Climate,31.772630668103776
TS_2DIFF+FASTPFOR,TH-Climate,26.39390949250831
TS_2DIFF+NEWPFOR,TH-Climate,27.276919223354028
TS_2DIFF+OPTPFOR,TH-Climate,52.6135518345908
TS_2DIFF+PFOR,TH-Climate,32.24670957752038
SPRINTZ+BOS-O,TH-Climate,29.067447968059753
RLE+BOS-O,TH-Climate,26.078287006816147
TS_2DIFF+BOS-A,TH-Climate,51.731483308791155
RLE+BOS-A,TH-Climate,29.45031348200325
SPRINTZ+BOS-A,TH-Climate,21.05344374781777
TS_2DIFF+BWS,TH-Climate,88.35046225312344
RLE+BWS,TH-Climate,100.9022816632004
SPRINTZ+BWS,TH-Climate,67.08757761146448
TS_2DIFF+BOS-P,TH-Climate,40.66354955748182
SPRINTZ+BOS-P,TH-Climate,40.519856390326844
RLE+BOS-P,TH-Climate,40.12640990997829
BUFF,TY-Fuel,45.850650082862074
CHIMP,TY-Fuel,19.04744836069775
GORILLA,TY-Fuel,12.67399156002802
PLAIN,TY-Fuel,11.150293007124429
RLBE,TY-Fuel,774.6722933146538
RLE,TY-Fuel,17.255399702721636
SPRINTZ,TY-Fuel,55.253270916266594
TS_2DIFF,TY-Fuel,7.552541388324135
Elf,TY-Fuel,92.03156563930841
TS_2DIFF+BOS-O,TY-Fuel,296.0929011976559
RLE+FASTPFOR,TY-Fuel,66.73401103688643
RLE+NEWPFOR,TY-Fuel,74.45868684970358
RLE+OPTPFOR,TY-Fuel,188.2331584972066
RLE+PFOR,TY-Fuel,75.77267089234765
SPRINTZ+FASTPFOR,TY-Fuel,28.94662315695956
SPRINTZ+NEWPFOR,TY-Fuel,43.285892945618556
SPRINTZ+OPTPFOR,TY-Fuel,170.5032376005877
SPRINTZ+PFOR,TY-Fuel,41.836377304334455
TS_2DIFF+FASTPFOR,TY-Fuel,29.436250875604383
TS_2DIFF+NEWPFOR,TY-Fuel,33.89927047205754
TS_2DIFF+OPTPFOR,TY-Fuel,69.61253694623363
TS_2DIFF+PFOR,TY-Fuel,38.98518391963233
SPRINTZ+BOS-O,TY-Fuel,303.0199791563445
RLE+BOS-O,TY-Fuel,202.30575250721841
TS_2DIFF+BOS-A,TY-Fuel,130.93973108267414
RLE+BOS-A,TY-Fuel,33.670202115118485
SPRINTZ+BOS-A,TY-Fuel,50.84542550101655
TS_2DIFF+BWS,TY-Fuel,101.6207787326374
RLE+BWS,TY-Fuel,92.94678375561668
SPRINTZ+BWS,TY-Fuel,98.92011754454904
