Encoding,Dataset,Decoding Time
CHIMP,Nifty-Stocks,1.536388140161725
GORILLA,Nifty-Stocks,1.376954177897574
PLAIN,Nifty-Stocks,28.85902964959569
RLBE,Nifty-Stocks,35.80754716981132
RLE,Nifty-Stocks,32.245013477088946
SPRINTZ,Nifty-Stocks,51.77870619946092
TS_2DIFF,Nifty-Stocks,60.404851752021564
Elf,Nifty-Stocks,101.2370488163675
TS_2DIFF+BOS-O,Nifty-Stocks,63.729784366576816
RLE+FASTPFOR,Nifty-Stocks,40.526397881292034
RLE+NEWPFOR,Nifty-Stocks,35.71897042701449
RLE+OPTPFOR,Nifty-Stocks,32.4486550306465
RLE+PFOR,Nifty-Stocks,52.549208611954384
SPRINTZ+FASTPFOR,Nifty-Stocks,61.322955223287174
SPRINTZ+NEWPFOR,Nifty-Stocks,65.69266210205738
SPRINTZ+OPTPFOR,Nifty-Stocks,49.78893041031541
SPRINTZ+PFOR,Nifty-Stocks,61.02364413309031
TS_2DIFF+FASTPFOR,Nifty-Stocks,44.36931078472586
TS_2DIFF+NEWPFOR,Nifty-Stocks,35.66502075990514
TS_2DIFF+OPTPFOR,Nifty-Stocks,29.314682390179545
TS_2DIFF+PFOR,Nifty-Stocks,52.86954735503341
SPRINTZ+BOS-O,Nifty-Stocks,71.3177897574124
RLE+BOS-O,Nifty-Stocks,63.135849056603774
TS_2DIFF+BOS-A,Nifty-Stocks,50.29153988810536
RLE+BOS-A,Nifty-Stocks,18.428267744454203
SPRINTZ+BOS-A,Nifty-Stocks,39.80724674426317
TS_2DIFF+BWS,Nifty-Stocks,69.04016172506738
RLE+BWS,Nifty-Stocks,72.57628032345013
SPRINTZ+BWS,Nifty-Stocks,81.15094339622641
TS_2DIFF+BOS-P,Nifty-Stocks,62.62048517520216
SPRINTZ+BOS-P,Nifty-Stocks,67.8066037735849
RLE+BOS-P,Nifty-Stocks,61.89420485175202
BUFF,USGS-Earthquakes,0.46127328769231446
CHIMP,USGS-Earthquakes,0.1949504676225778
GORILLA,USGS-Earthquakes,0.09699815765058678
PLAIN,USGS-Earthquakes,6.978085275714844
RLBE,USGS-Earthquakes,28.906242442629942
RLE,USGS-Earthquakes,7.902579728880036
SPRINTZ,USGS-Earthquakes,20.95933200543471
TS_2DIFF,USGS-Earthquakes,7.190447923949223
Elf,USGS-Earthquakes,88.67934749153586
TS_2DIFF+BOS-O,USGS-Earthquakes,23.223069380504512
RLE+FASTPFOR,USGS-Earthquakes,18.323826986241738
RLE+NEWPFOR,USGS-Earthquakes,16.62218206281576
RLE+OPTPFOR,USGS-Earthquakes,16.63445852955014
RLE+PFOR,USGS-Earthquakes,17.443869901111125
SPRINTZ+FASTPFOR,USGS-Earthquakes,27.689284913400783
SPRINTZ+NEWPFOR,USGS-Earthquakes,25.37499505335778
SPRINTZ+OPTPFOR,USGS-Earthquakes,25.182805911347376
SPRINTZ+PFOR,USGS-Earthquakes,26.071917582345105
TS_2DIFF+FASTPFOR,USGS-Earthquakes,20.15243132961346
TS_2DIFF+NEWPFOR,USGS-Earthquakes,18.770308714444635
TS_2DIFF+OPTPFOR,USGS-Earthquakes,17.340733510093347
TS_2DIFF+PFOR,USGS-Earthquakes,17.620858561208653
SPRINTZ+BOS-O,USGS-Earthquakes,24.477999533916375
RLE+BOS-O,USGS-Earthquakes,25.87326482783487
TS_2DIFF+BOS-A,USGS-Earthquakes,93.05641810339142
RLE+BOS-A,USGS-Earthquakes,34.47236256029407
SPRINTZ+BOS-A,USGS-Earthquakes,45.85759826229955
TS_2DIFF+BWS,USGS-Earthquakes,19.993809002449137
RLE+BWS,USGS-Earthquakes,21.89901374946686
SPRINTZ+BWS,USGS-Earthquakes,22.35819845488882
TS_2DIFF+BOS-P,USGS-Earthquakes,24.11181609923184
