Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Compression Ratio
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,SPRINTZ+BOS-P,3907472,96349,7280,10454.0,0.35899725274725275
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,SPRINTZ+BOS-P,2854405,170021,7280,10713.0,0.36789148351648354
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,SPRINTZ+BOS-P,367054,116282,7280,5996.0,0.2059065934065934
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle2.csv,SPRINTZ+BOS-P,3108882,114857,7280,9173.0,0.3150068681318681
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle4.csv,SPRINTZ+BOS-P,723345,117254,7280,7390.0,0.2537774725274725
