Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Compression Ratio
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-P,21785120,466275,18353,34531.0,0.4703726911131695
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,TS_2DIFF+BOS-P,32805447,1442591,58373,78598.0,0.3366196700529354
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,TS_2DIFF+BOS-P,32752825,1333932,58373,78598.0,0.3366196700529354
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,TS_2DIFF+BOS-P,17030308,383980,17785,32971.0,0.46346640427326397
